花都天才医圣,马筱虎 著,连载中,332.6万,4088.0万,22.5万,4088.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
网游：我有百倍反伤,酒吞山河 著,连载中,33.9万,274.6万,2.3万,274.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
抗战之铁血救国,宝王 著,连载中,258.6万,1393.6万,14.9万,1393.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
狂兵赘婿,三丁 著,连载中,435.0万,7930.2万,56.7万,7930.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
洪荒：我有无数功德,北冥小鱼 著,连载中,40.0万,275.1万,1.9万,275.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
无敌：从改变世界开始,小小怪 著,连载中,36.8万,322.6万,5.6万,322.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我有十万倍天赋,云小佛 著,完本,83.4万,4791.7万,23.3万,4791.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我是特种兵中的战争之王,扑街巨星 著,连载中,35.5万,58.9万,9011,58.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我成了少女的守护灵,一碗牛肉面 著,连载中,45.0万,346.5万,3.2万,346.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
一统三界·孙大圣的神豪虱子,開运猫 著,连载中,52.6万,643.1万,3.2万,643.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
无双仙帝,狗贼蛋 著,连载中,64.5万,767.1万,4.4万,767.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
酒神：开局一只小萝莉,六月四 著,连载中,26.8万,51.3万,1.3万,51.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
超级黄金指,道门弟子 著,完本,534.9万,11514.7万,13.5万,11514.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
超级继承人,三七 著,连载中,103.8万,822.4万,3.5万,822.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
海洋猎人,不吃西瓜的驴 著,连载中,41.6万,58.0万,1.1万,58.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我的世界之开局继承地狱堡垒,追梦的扑街 著,连载中,11.7万,34.2万,1.2万,34.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
离婚后，我成了亿万富翁,猫咪少女 著,连载中,16.2万,36.8万,4381,36.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
极品杀手之王,二哈喇子 著,连载中,30.4万,36.9万,1967,36.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
从我是特种兵走出的兵王,喜笑颜开 著,连载中,102.5万,911.7万,6.4万,911.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
抗日之铁血战魂,鹰隼展翅 著,连载中,199.1万,2328.1万,70.6万,2328.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
开局百连抽 ! 然后无敌,东方皇子 著,连载中,22.0万,152.3万,2.2万,152.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
洪荒:开局系统让我迎娶女娲,游云游水 著,连载中,16.1万,44.9万,2978,44.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
幸运直播：全球探险,深空失忆 著,连载中,49.9万,365.5万,4.1万,365.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
大唐第一军火商,七荤八素 著,连载中,28.9万,459.7万,2.3万,459.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
绝世剑神,黑暗火龙 著,连载中,1248.8万,482.1万,9093,482.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
都市之仙医狂婿,醉酒望明月 著,完本,201.4万,2698.9万,7.5万,2698.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
太初符神,白衣洛阳 著,连载中,43.6万,110.8万,8631,110.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
僵尸世界：签到就变强,木星 著,完本,131.3万,2741.4万,8.8万,2741.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
全世界都对我隐瞒了身份,胖斧 著,连载中,49.6万,1043.6万,6.7万,1043.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
抱歉，身为国宝就是可以为所欲为,观山月 著,连载中,52.0万,1717.6万,13.4万,1717.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
网游：开局灭掉新手村,落叶知秋过 著,连载中,16.8万,42.7万,4207,42.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
洪荒之人族崛起,金锤锤大王 著,连载中,25.7万,36.8万,3856,36.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
原始文明：提前登录,拉面熊 著,连载中,60.7万,977.2万,8.2万,977.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
开局绑定女武神,青羽 著,连载中,105.0万,1327.9万,11.9万,1327.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
开局从一栋超级别墅开始,猫抓老虎 著,连载中,143.5万,3477.8万,21.0万,3477.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
上门为婿,良人待归 著,完本,372.9万,5014.3万,18.7万,5014.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我的悟性好到爆,白骨青灰 著,连载中,89.7万,1963.3万,7.0万,1963.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
开局一元秒杀天道意志,大刀四十米 著,连载中,40.7万,119.7万,6141,119.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
桃源仙村,馒头无罪 著,连载中,57.9万,163.0万,9498,163.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
奥特曼：开局抽到黑暗迪迦,凹秃曼 著,连载中,8.4万,9.4万,3441,9.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
不灭修罗,冷面加糖 著,完本,442.5万,4534.6万,6.4万,4534.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
